t,ytd_old,ytd_new,basis,p_old,p_new,s1g,s2g,s1u,s2u,ytd_uni_old
AMGN,10.94,27.38,prior_year_close,6,12,75,81,81,81,27.25
AMP,3.08,13.67,prior_year_close,2,6,71,75,75,75,12.88
AMT,1.28,0.2,prior_year_close,2,2,57,57,57,57,0.64
AMZN,31.51,18.92,prior_year_close,12,6,81,75,81,75,21.18
ANET,33.11,43.99,prior_year_close,12,12,87,87,87,87,41.22
AON,16.02,2.04,prior_year_close,6,2,52,48,48,48,4.59
AOS,-18.14,-2.73,prior_year_close,-10,-4,64,70,70,70,-4.78
APA,38.77,57.45,prior_year_close,12,12,92,92,88,92,51.86
APD,7.29,25.29,prior_year_close,6,12,86,92,92,92,22.67
APGE,117.03,78.64,prior_year_close,-2,12,39,53,49,53,77.94
APH,17.73,25.63,prior_year_close,6,12,75,81,81,81,21.52
APO,-4.07,-11.23,prior_year_close,-4,-10,63,57,57,57,-12.35
APP,-24.67,-48.53,prior_year_close,-10,-10,21,21,21,21,-43.91
APTV,-40.57,-34.88,prior_year_close,-10,-10,29,29,29,29,-36.83
ARE,-8.92,4.6,prior_year_close,-4,2,22,28,28,28,4.53
ARES,2.08,-13.31,prior_year_close,2,-10,71,59,59,59,-15.76
ARQQ,23.78,4.66,prior_year_close,12,2,84,74,68,74,-6.68
ASML,22.38,63.51,prior_year_close,12,12,69,69,65,69,50.32
ATO,0.38,2.67,prior_year_close,2,2,41,41,41,41,1.62
AVB,10.35,5.57,prior_year_close,6,6,57,57,57,57,6.05
AVGO,24.83,24.05,prior_year_close,12,12,78,78,78,78,23.51
AVY,-5.42,-1.47,prior_year_close,-4,-4,70,70,70,70,-1.78
AWK,11.59,5.14,prior_year_close,6,6,65,65,65,65,5.28
AXON,31.64,0.54,prior_year_close,12,2,95,85,85,85,1.34
AXP,-4.65,-7.1,prior_year_close,-4,-4,42,42,42,42,-8.0
AZO,-13.95,-7.79,prior_year_close,-10,-4,62,68,68,68,-5.34
BA,-4.2,7.97,prior_year_close,-4,6,63,73,69,73,2.92
BAC,13.2,16.1,prior_year_close,6,6,54,54,54,54,14.13
BALL,-4.17,20.58,prior_year_close,-4,12,50,66,60,66,19.72
BAX,26.91,44.31,prior_year_close,12,12,81,81,81,81,41.42
BBY,25.75,26.04,prior_year_close,12,12,58,58,58,58,21.94
BDX,9.94,17.48,prior_year_close,6,6,75,75,75,75,16.96
BEN,25.03,44.86,prior_year_close,12,12,87,87,87,87,45.41
BF-B,-1.51,11.41,prior_year_close,-4,6,71,81,81,81,11.07
BG,-7.58,23.1,prior_year_close,-4,12,27,43,37,43,18.37
BIIB,7.29,18.15,prior_year_close,6,6,86,86,86,86,16.94
BKNG,27.12,0.58,prior_year_close,12,2,81,71,71,71,1.18
BKR,4.48,36.62,prior_year_close,2,12,63,73,73,73,31.98
BLDR,-39.91,-27.41,prior_year_close,-10,-10,50,50,50,50,-28.62
BLK,6.41,7.36,prior_year_close,6,6,75,75,75,75,5.91
BMY,8.81,24.04,prior_year_close,6,12,75,81,81,81,23.69
BNY,24.49,37.45,prior_year_close,12,12,66,66,66,66,36.34
BR,-6.9,-24.47,prior_year_close,-4,-10,68,62,62,62,-23.55
BRK-B,4.76,3.81,prior_year_close,2,2,66,66,70,66,5.02
BRO,4.32,-9.91,prior_year_close,2,-4,56,50,50,50,-7.49
BSX,-33.47,-48.29,prior_year_close,-10,-10,51,51,51,51,-47.94
BTSG,57.02,66.7,prior_year_close,8,12,44,48,44,48,62.58
BX,6.39,-8.24,prior_year_close,6,-4,80,70,64,70,-10.93
BXP,9.84,5.82,prior_year_close,6,6,60,60,60,60,5.29
C,10.15,17.44,prior_year_close,6,6,66,66,66,66,15.45
CAH,5.2,15.85,prior_year_close,6,6,81,81,81,81,15.44
CARR,-1.3,22.53,prior_year_close,-4,12,27,43,43,43,20.97
CASY,26.74,51.24,prior_year_close,12,12,58,58,54,58,50.28
CAT,13.91,47.91,prior_year_close,6,12,58,64,64,64,41.6
CB,8.05,12.92,prior_year_close,6,6,52,52,52,52,13.67
CBOE,2.5,14.7,prior_year_close,2,6,48,52,52,52,16.03
CBRE,-13.33,-7.84,prior_year_close,-10,-4,65,71,71,71,-7.5
CCI,-6.8,-12.88,prior_year_close,-4,-10,48,42,42,42,-12.71
CCL,-10.22,-3.55,prior_year_close,-10,-4,57,63,63,63,-4.74
CDNS,16.58,8.53,prior_year_close,6,6,58,58,58,58,9.29
CDW,-4.28,0.81,prior_year_close,-4,2,42,48,48,48,3.11
CEG,-0.54,-23.38,prior_year_close,-4,-10,76,70,70,70,-26.1
CF,21.58,49.25,prior_year_close,12,12,46,46,46,46,44.05
CFG,8.82,27.01,prior_year_close,6,12,57,63,63,63,24.91
CHD,5.56,23.91,prior_year_close,6,12,75,81,81,81,25.72
CHRW,-24.93,-6.46,prior_year_close,-10,-4,26,32,32,32,-8.15
CHTR,-35.96,-26.91,prior_year_close,-10,-10,59,59,59,59,-27.1
CI,-2.96,3.8,prior_year_close,-4,2,35,41,41,41,2.35
CIEN,42.36,76.33,prior_year_close,12,12,72,72,68,72,67.6
CINF,6.03,9.53,prior_year_close,6,6,52,52,52,52,10.77
CL,0.24,20.18,prior_year_close,2,12,82,92,92,92,22.24
CLX,-10.97,6.77,prior_year_close,-10,6,59,75,75,75,6.75
CMCSA,-17.73,-6.08,prior_year_close,-10,-4,64,70,70,70,-4.97
CME,-11.68,-0.63,prior_year_close,-10,-4,59,65,71,65,0.62
CMG,-17.18,-11.38,prior_year_close,-10,-10,24,24,24,24,-12.54
CMI,7.83,27.04,prior_year_close,6,12,58,64,64,64,24.22
CMS,-0.17,3.96,prior_year_close,-4,2,32,38,38,38,3.24
CNC,72.9,59.83,prior_year_close,8,12,88,92,88,92,57.42
CNP,2.18,7.27,prior_year_close,2,6,38,42,42,42,6.19
COF,-1.45,-9.42,prior_year_close,-4,-4,65,65,59,65,-11.45
COHR,56.37,105.41,prior_year_close,8,12,74,78,74,78,95.1
COIN,-8.16,-32.08,prior_year_close,-4,-10,27,21,21,21,-35.06
COO,-8.9,-9.43,prior_year_close,-4,-4,65,65,65,65,-8.48
COP,9.85,27.56,prior_year_close,6,12,60,66,66,66,23.48
COR,-11.43,-4.74,prior_year_close,-10,-4,64,70,70,70,-5.05
COST,-4.7,10.4,prior_year_close,-4,6,51,61,61,61,11.41
CPAY,10.4,30.58,prior_year_close,6,12,75,81,81,81,30.72
CPRT,-26.4,-24.24,prior_year_close,-10,-10,62,62,62,62,-21.47
CPT,5.85,3.74,prior_year_close,6,2,45,41,41,41,3.65
CRH,-20.21,-18.91,prior_year_close,-10,-10,50,50,50,50,-19.96
CRL,44.04,34.09,prior_year_close,12,12,81,81,81,81,32.15
CRM,-0.16,-26.87,prior_year_close,-4,-10,65,59,59,59,-23.62
CRWD,110.2,82.97,prior_year_close,-2,12,72,86,82,86,89.09
CSCO,41.21,59.94,prior_year_close,12,12,78,78,74,78,61.16
CSGP,-40.66,-55.03,prior_year_close,-10,-10,50,50,50,50,-53.97
CSX,24.24,39.56,prior_year_close,12,12,58,58,58,58,39.48
CTAS,4.78,8.51,prior_year_close,2,6,56,60,60,60,10.38
CTSH,-21.75,-29.67,prior_year_close,-10,-10,54,54,54,54,-28.18
CTVA,4.84,15.14,prior_year_close,2,6,46,50,50,50,13.9
CVNA,-13.94,-16.06,prior_year_close,-10,-10,62,62,62,62,-11.49
CVS,28.2,23.41,prior_year_close,12,12,51,51,51,51,22.22
CVX,4.11,24.74,prior_year_close,2,12,48,58,58,58,21.94
CYTK,21.15,20.81,prior_year_close,12,12,46,46,46,46,24.35
D,10.31,17.41,prior_year_close,6,6,45,45,45,45,16.12
DAL,22.74,32.65,prior_year_close,12,12,87,87,87,87,33.3
DASH,16.12,-4.51,prior_year_close,6,-4,75,65,65,65,-1.61
DD,1.63,19.08,prior_year_close,2,6,69,73,73,73,17.13
DDOG,105.18,72.02,prior_year_close,-2,12,35,49,45,49,74.87
DE,6.59,34.09,prior_year_close,6,12,86,92,92,92,33.73
DECK,-14.88,-5.99,prior_year_close,-10,-4,16,22,22,22,-8.74
DELL,277.08,263.78,prior_year_close,-7,12,73,92,73,92,258.31
DG,-13.25,-3.3,prior_year_close,-10,-4,44,50,50,50,-6.17
DGX,25.68,39.15,prior_year_close,12,12,73,73,73,73,38.94
DHI,-0.98,5.83,prior_year_close,-4,6,68,78,74,78,4.6
DHR,-5.09,-10.18,prior_year_close,-4,-10,67,61,61,61,-10.75
DIS,-1.32,-7.08,prior_year_close,-4,-4,62,62,62,62,-5.49
DLR,14.11,26.96,prior_year_close,6,12,81,87,87,87,26.7
DLTR,6.28,6.41,prior_year_close,6,6,80,80,76,80,2.51
DOC,31.39,38.4,prior_year_close,12,12,63,63,63,63,37.38
DOV,-5.71,8.65,prior_year_close,-4,6,56,66,66,66,8.37
DOW,-6.52,28.27,prior_year_close,-4,12,43,59,59,59,23.57
DPZ,-9.5,-14.85,prior_year_close,-4,-10,71,65,65,65,-16.55
DRI,-0.4,18.88,prior_year_close,-4,6,62,72,72,72,16.86
DTE,5.22,10.16,prior_year_close,6,6,42,42,42,42,9.0
DUK,4.34,8.35,prior_year_close,2,6,41,45,45,45,8.14
DVA,33.51,61.76,prior_year_close,12,12,61,61,57,61,60.48
DVN,0.07,18.79,prior_year_close,2,6,36,40,40,40,14.9
DXCM,20.8,27.69,prior_year_close,12,12,81,81,81,81,27.37
EA,4.59,2.82,prior_year_close,2,2,62,62,62,62,2.78
EBAY,28.97,29.35,prior_year_close,12,12,63,63,63,63,29.41
ECHO,-21.83,-17.17,prior_year_close,-10,-10,50,50,50,50,-19.74
ECL,-0.5,9.22,prior_year_close,-4,6,65,75,75,75,9.17
ED,2.87,10.49,prior_year_close,2,6,41,45,45,45,9.75
EFX,-7.97,-15.35,prior_year_close,-4,-10,55,49,49,49,-14.18
EG,17.83,11.85,prior_year_close,6,6,57,57,57,57,13.48
EIX,10.16,18.81,prior_year_close,6,6,50,50,50,50,17.03
EL,-10.14,-15.04,prior_year_close,-10,-10,56,56,56,56,-16.66
ELV,21.6,13.61,prior_year_close,12,6,72,66,66,66,12.42
EME,5.34,33.74,prior_year_close,6,12,73,79,79,79,28.12
EMR,-0.31,20.19,prior_year_close,-4,12,65,81,75,81,17.44
EOG,20.13,31.51,prior_year_close,12,12,46,46,46,46,28.74
EQIX,22.82,37.5,prior_year_close,12,12,67,67,67,67,37.87
EQR,6.06,10.01,prior_year_close,6,6,45,45,45,45,10.57
EQT,-7.1,-2.71,prior_year_close,-4,-4,51,51,51,51,-2.46
ERAS,53.29,394.89,prior_year_close,8,12,56,60,41,60,412.81
ERIE,-5.22,-10.4,prior_year_close,-4,-10,76,70,76,70,-7.55
ES,9.36,9.85,prior_year_close,6,6,57,57,57,57,8.67
ESS,13.96,13.38,prior_year_close,6,6,57,57,57,57,14.36
ETN,19.99,42.05,prior_year_close,6,12,80,86,86,86,38.23
ETR,9.8,17.36,prior_year_close,6,6,42,42,42,42,15.57
EVRG,9.9,16.96,prior_year_close,6,6,45,45,45,45,16.02
EW,16.82,5.24,prior_year_close,6,6,75,75,75,75,5.14
EXC,5.6,6.52,prior_year_close,6,6,45,45,45,45,5.72
EXE,-9.04,-14.9,prior_year_close,-4,-10,71,65,65,65,-14.45
EXPD,9.77,20.55,prior_year_close,6,12,86,92,86,92,18.29
EXPE,31.96,10.13,prior_year_close,12,6,81,75,75,75,10.28
EXR,8.95,17.43,prior_year_close,6,6,81,81,81,81,16.76
F,5.29,9.07,prior_year_close,6,6,32,32,32,32,7.27
FANG,14.61,26.52,prior_year_close,6,12,40,46,46,46,24.86
FAST,12.64,31.3,prior_year_close,6,12,75,81,81,81,30.3
FCX,9.96,38.05,prior_year_close,6,12,72,78,78,78,35.02
FDS,41.94,-0.6,prior_year_close,12,-4,86,70,76,70,1.24
FDX,9.28,37.93,prior_year_close,6,12,66,72,72,72,35.93
FDXF,-4.13,-4.13,first_close_of_year,-4,-4,48,48,48,48,-4.13
FE,3.45,9.22,prior_year_close,2,6,53,57,57,57,8.04
FFIV,43.59,56.79,prior_year_close,12,12,46,46,42,46,55.96
FICO,-24.14,-38.4,prior_year_close,-10,-10,26,26,26,26,-36.63
FIS,-13.76,-34.35,prior_year_close,-10,-10,36,36,36,36,-33.51
FISV,-12.85,-21.97,prior_year_close,-10,-10,68,68,68,68,-20.09
FITB,6.78,23.94,prior_year_close,6,12,57,63,63,63,21.6
FIX,32.13,81.73,prior_year_close,12,12,59,59,55,59,68.99
FLEX,83.67,100.84,prior_year_close,8,12,68,72,68,72,90.56
FOX,1.03,-11.69,prior_year_close,2,-10,68,56,56,56,-13.07
FOXA,2.38,-11.94,prior_year_close,2,-10,63,51,51,51,-12.77
